cert_id,jobid,certification_text,is_mandatory
155,432,ITIL,1
156,432,Certified Pega System Architect,1
157,432,The Open Group TOGAF 9 Certification,1
158,432,Red Hat (RHCSA/RHCE/RHCA),1
159,432,SAFe DevOps,1
160,438,Automation Anywhere Certified Professional,0
161,440,ATD,0
162,440,CDCP,0
163,440,Chartered Engineer in Electrical or MVAC,0
164,445,NZISM,0
165,448,AGSVA NV1 security clearance,1
166,448,Occupational Health and Safety Construction Induction White Card,1
167,448,Asbestos Awareness Card,1
168,448,Crystalline Silica Exposure Prevention,1
169,448,Working with Vulnerable People General Registration,0
170,455,NV1 Security Clearance,1
171,456,CAPM,0
172,456,PMP,0
173,456,ITIL,0
174,465,ISC2 (CISSP/CCSP/SSCP),0
175,465,ISACA (CISA/CISM/CRISC),0
176,465,ISC2 (CISSP/CCSP/SSCP),0
177,465,Certified Ethical Hacker (CEH),0
178,469,Cisco (CCNA/CCNP/CCIE),0
179,469,Cisco (CCNA/CCNP/CCIE),0
180,469,Fortinet Certifications,0
181,469,Microsoft (except Azure),0
182,469,ITIL,0
183,475,IT architecture,0
184,475,networking,0
185,475,systems design,0
186,476,ISC2 (CISSP/CCSP/SSCP),0
187,476,ISACA (CISA/CISM/CRISC),0
188,484,Azure,0
189,489,Microsoft (except Azure),0
190,493,ISA Certified Arborist,1
191,493,ISA Tree Risk Assessment Qualification,1
192,497,SAP,1
193,504,Cisco (CCNA/CCNP/CCIE),0
194,504,Microsoft (except Azure),0
195,504,VMware,0
196,509,Software Certification,0
197,509,CRM Certification Program,0
198,509,AWS,0
199,509,Azure,0
200,509,Microsoft (except Azure),0
201,509,TOGAF 9 Certification Program,0
202,519,ISC2 (CISSP/CCSP/SSCP),0
203,519,ISACA (CISA/CISM/CRISC),0
204,537,ITIL,0
205,537,COBIT,0
206,537,PMP,0
207,537,DRM/BCM,0
208,537,ISC2 (CISSP/CCSP/SSCP),0
209,541,ServiceNow Certified System Administrator,1
210,541,ServiceNow Certified Application Developer,1
211,541,ITIL,0
212,541,ITOM,0
213,541,Reporting/Dashboard Design and Performance and Analytics,0
214,542,PMP,0
215,542,ITIL,0
216,543,Cisco (CCNA/CCNP/CCIE),0
217,546,Cisco (CCNA/CCNP/CCIE),0
218,546,Cisco (CCNA/CCNP/CCIE),0
219,546,JNCIA,0
220,546,JNCIP,0
221,577,Registered Electrical Worker Certificate (Grade A or above),1
222,588,PMP,1
223,588,PgMP,0
224,589,Certification in automation testing tools,0
225,590,CompTIA (A+/Network+/Linux+/Security+),0
226,590,Basic Structure Cabling (BSC),0
227,592,Cisco (CCNA/CCNP/CCIE),0
228,597,ITIL,1
229,597,AWS,1
230,597,Azure,1
231,599,ITIL,1
232,599,AWS,0
233,599,Azure,0
234,600,Microsoft (except Azure),1
235,601,PHP,0
236,601,WordPress,0
237,602,H3CSE,0
238,602,Cisco (CCNA/CCNP/CCIE),0
239,602,Cisco (CCNA/CCNP/CCIE),0
240,602,NSE7,0
241,602,NSE8,0
242,608,ISC2 (CISSP/CCSP/SSCP),0
243,608,ISACA (CISA/CISM/CRISC),0
244,608,GSEC,0
245,608,Certified Ethical Hacker (CEH),0
246,608,CompTIA (A+/Network+/Linux+/Security+),0
247,608,ITIL,0
248,609,Microsoft (except Azure),0
249,623,NetSuite Administrator,0
250,623,NetSuite Financial User,0
251,626,Axxonsoft video management training certificate,1
252,629,security certifications (unspecified),0
253,637,Cisco (CCNA/CCNP/CCIE),0
254,637,Cisco (CCNA/CCNP/CCIE),0
255,640,PMP,0
256,641,AWS,0
257,641,AWS,0
258,641,AWS,0
259,642,Cisco (CCNA/CCNP/CCIE),0
260,642,Cisco (CCNA/CCNP/CCIE),0
261,642,Cisco (CCNA/CCNP/CCIE),0
262,645,ITIL,0
263,665,PRINCE2,1
264,665,PMBOK,1
265,668,ISC2 (CISSP/CCSP/SSCP),0
266,668,ISACA (CISA/CISM/CRISC),0
267,673,Microsoft (except Azure),1
268,674,ITIL,0
269,675,ACMA Open Cable Registration (Optic fibre and structured cabling endorsements),1
270,675,Electrical A grade qualifications,0
271,675,Telecommunication Certificate III qualification,0
272,675,Vendor endorsements,0
273,675,Security clearance - NV1,0
274,677,PMP,1
275,677,CSM,1
276,687,ISTQB,0
277,695,Microsoft (except Azure),1
278,695,Linux Administrator,1
279,699,Certified in Active Directory Windows,1
280,708,Cisco (CCNA/CCNP/CCIE),1
281,708,Cisco (CCNA/CCNP/CCIE),1
282,714,Microsoft (except Azure),1
283,714,VMware,1
284,714,Cisco (CCNA/CCNP/CCIE),1
285,718,Cisco (CCNA/CCNP/CCIE),1
286,718,Microsoft (except Azure),0
287,722,ISO 27001,0
288,722,Automotive ISO/SAE 21434,0
289,722,NIST cybersecurity frameworks,0
290,722,GDPR,0
291,722,CCPA,0
292,723,ISACA (CISA/CISM/CRISC),0
293,723,ISC2 (CISSP/CCSP/SSCP),0
294,726,ITIL,1
295,726,Cisco (CCNA/CCNP/CCIE),1
296,726,ISC2 (CISSP/CCSP/SSCP),1
297,726,Cisco (CCNA/CCNP/CCIE),0
298,727,PMP,1
299,727,SAFE,1
300,729,Cisco (CCNA/CCNP/CCIE),1
301,730,Cisco (CCNA/CCNP/CCIE),0
302,731,Cisco (CCNA/CCNP/CCIE),1
303,731,Cisco (CCNA/CCNP/CCIE),1
304,733,Certification with a major IT vendor on a desktop related platform or technology.,1
305,735,Cisco (CCNA/CCNP/CCIE),0
306,737,Cisco (CCNA/CCNP/CCIE),0
307,737,Huawei HCIE Level,0
308,741,ISO 27001,0
309,741,Automotive ISO/SAE 21434,0
310,741,NIST cybersecurity frameworks,0
311,741,GDPR / CCPA,0
312,745,Cisco (CCNA/CCNP/CCIE),1
313,745,Cisco (CCNA/CCNP/CCIE),1
314,745,CCSA,1
315,745,CCSE,1
316,745,PCNSA,1
317,745,PCNSE,1
318,745,NSE,1
319,752,PMP,0
320,754,Certificate IV in Outdoor Recreation,1
321,754,Working With Children Check (WWCC) Clearance,1
322,754,First Aid Certificate,1
323,754,Certificate IV in Training and Assessment,0
324,756,PMP,0
325,756,PRINCE2,0
326,756,Scrum,0
327,761,ISTQB,0
328,763,Cisco (CCNA/CCNP/CCIE),1
329,764,PMP,0
330,764,ITIL,0
331,771,ISC2 (CISSP/CCSP/SSCP),0
332,771,ISACA (CISA/CISM/CRISC),0
333,771,ISACA (CISA/CISM/CRISC),0
334,772,PMP,0
335,772,PMI,0
336,772,Agile,0
337,784,SAFe for Teams and Product Owner/Product Manager,0
338,786,Security certification,0
339,787,Industry certification in multiple operating systems and/or network,1
340,795,Oracle Certified Systems Administrator,1
341,795,RHEL Certified Systems Administrator,1
342,796,Oracle Certified Professional,0
343,796,Java SE Developer,0
344,796,Spring Professional Certification,0
345,798,CSM,0
346,798,PSM,0
347,808,Microsoft (except Azure),1
348,808,VMware,1
349,808,ITIL,1
350,808,Citrix,0
352,808,Microsoft (except Azure),0
353,808,EMC storage or equivalent certification,0
354,826,CIPS,0
355,835,ITIL,1
356,836,Microsoft (except Azure),1
357,836,VMware,1
358,836,NetApp,1
359,836,Dell Storage,1
360,836,IBM,1
361,836,IBM,0
362,836,Linux,0
363,836,TSM,0
364,837,SAFE Agilist,0
365,837,LeSS Practitioner,0
366,860,Certification in business analytics or related fields,0
367,874,PMBOK,1
368,882,Azure,0
370,882,VMware,0
371,882,ITIL,0
372,886,CompTIA (A+/Network+/Linux+/Security+),0
373,886,CompTIA (A+/Network+/Linux+/Security+),0
374,886,CompTIA (A+/Network+/Linux+/Security+),0
375,886,Azure,0
376,886,Microsoft (except Azure),0
377,886,Cisco (CCNA/CCNP/CCIE),0
378,886,VMware,0
379,886,ISC2 (CISSP/CCSP/SSCP),0
380,889,ITIL,0
381,889,Data Analytics,0
382,889,Business Intelligence,0
383,894,ISC2 (CISSP/CCSP/SSCP),0
384,894,OffSec (OSCP),0
385,894,GSEC,0
386,894,GCED,0
387,894,GMON,0
388,894,GCIA,0
389,902,ITIL,1
390,907,Azure,0
391,907,Microsoft (except Azure),0
392,909,Cisco (CCNA/CCNP/CCIE),0
393,911,ISC2 (CISSP/CCSP/SSCP),1
394,911,ISACA (CISA/CISM/CRISC),1
395,911,ISACA (CISA/CISM/CRISC),1
396,911,Certified Ethical Hacker (CEH),1
397,911,ISO 27001,1
398,911,ISO 27001,1
399,911,Certified in Cybersecurity (CC),1
400,911,CompTIA (A+/Network+/Linux+/Security+),1
401,915,AWS,0
402,915,ITIL,0
403,919,Cisco (CCNA/CCNP/CCIE),1
404,919,Cisco (CCNA/CCNP/CCIE),1
405,919,AWS,0
406,922,TOGAF 9,0
407,922,COBIT 5 Foundation,0
408,922,SAFe,0
409,922,Scrum,0
410,922,ITIL,0
411,928,PMP,0
412,928,PRINCE2,0
413,928,Certified Scrum Master (CSM),0
414,928,PMI,0
415,929,Computer diagnostics and repair,0
416,929,PC Security,0
417,929,Local Area Networking (LAN),0
418,930,Cisco (CCNA/CCNP/CCIE),0
419,930,Cisco (CCNA/CCNP/CCIE),0
420,931,SAP,0
421,932,Certificate in Rigging,1
422,932,Certificate in Telecommunications,1
423,932,ACMA License,1
424,932,Open Cabling Ticket,1
425,932,First Aid,1
426,932,CPR,1
427,932,Construction White Card,1
428,932,RadHaz EME Awareness,1
429,932,Working at Heights certification,1
430,932,Tower Rescue certification,1
431,932,MR or HR License,0
432,935,Certificate in Rigging,1
433,935,Certificate in Telecommunications,1
434,935,Working at Heights certification,1
435,935,Tower Rescue certification,1
436,935,ACMA License,1
437,935,Open Cabling Ticket,1
438,935,First Aid,1
439,935,CPR Certificates,1
440,935,Construction White Card,1
441,935,RF/EME Awareness,1
442,936,Certificate in Rigging,1
443,936,Certificate in Telecommunications,1
444,936,ACMA License,1
445,936,Open Cabling Ticket,1
446,936,Current First Aid,1
447,936,CPR Certificates,1
448,936,Construction White Card,1
449,936,RadHaz EME Awareness,1
450,937,Cisco (CCNA/CCNP/CCIE),0
451,937,Cisco (CCNA/CCNP/CCIE),0
452,937,Cisco (CCNA/CCNP/CCIE),0
453,937,CyberOps Associate,0
454,939,PMP,0
455,939,Scrum master,0
456,940,Cisco (CCNA/CCNP/CCIE),0
457,940,VMware,0
458,944,ITIL,0
459,956,Open-source industry certifications,0
460,959,Relevant certifications or coursework in IT support or ops,0
462,966,Cisco (CCNA/CCNP/CCIE),0
463,966,Linux,0
464,969,NV1 Defence Security Clearance,1
465,972,ISC2 (CISSP/CCSP/SSCP),1
466,972,ISACA (CISA/CISM/CRISC),1
467,979,Microsoft (except Azure),0
468,989,Prosci,1
469,999,Microsoft (except Azure),0
470,999,Oracle Certified,0
471,1012,Project management certification,0
472,1014,ISC2 (CISSP/CCSP/SSCP),0
473,1014,ISACA (CISA/CISM/CRISC),0
474,1014,GIAC,0
475,1018,Certified DevOps Security Professional (CDSP),0
476,1018,ISC2 (CISSP/CCSP/SSCP),0
477,1019,ServiceNow Certified System Administrator,1
478,1029,Cisco (CCNA/CCNP/CCIE),0
479,1029,Cisco (CCNA/CCNP/CCIE),0
480,1029,RCNP/RSE,0
481,1031,Certified Incident Handler (GCIH),1
482,1043,ISC2 (CISSP/CCSP/SSCP),0
483,1043,OffSec (OSCP),0
484,1051,ServiceNow System Administrator,0
485,1051,ServiceNow IRM Implementation Specialist,0
486,1058,ISO 27001,1
487,1064,ITIL,1
488,1065,Cisco (CCNA/CCNP/CCIE),1
489,1065,JNCIA,1
490,1065,Cisco (CCNA/CCNP/CCIE),0
491,1065,ACA Cabling Accreditation,0
492,1070,Red Hat (RHCSA/RHCE/RHCA),0
493,1070,Kubernetes Administrator (CKA),0
495,1072,Linux,0
496,1072,VMware,0
497,1072,Backup and Storage,0
498,1072,Database,0
499,1072,Nutanix,0
500,1072,Network Vendor,0
501,1085,ITIL,0
502,1085,Microsoft (except Azure),0
504,1086,PMP,1
505,1088,IT Service Management,0
506,1088,Project Management,0
507,1098,CompTIA (A+/Network+/Linux+/Security+),0
508,1098,CompTIA (A+/Network+/Linux+/Security+),0
509,1098,Microsoft (except Azure),0
510,1105,Cisco (CCNA/CCNP/CCIE),0
511,1105,Cisco (CCNA/CCNP/CCIE),0
512,1105,CCDP,0
513,1108,PMP,1
514,1108,ITIL,0
515,1108,ISC2 (CISSP/CCSP/SSCP),0
516,1109,ISC2 (CISSP/CCSP/SSCP),0
517,1109,ISACA (CISA/CISM/CRISC),0
518,1109,NSE,0
519,1109,Cisco (CCNA/CCNP/CCIE),0
520,1121,Project Management certification,0
521,1133,OCP,0
522,1133,CKA,0
523,1133,Red Hat (RHCSA/RHCE/RHCA),0
524,1133,ITIL,0
525,1133,PMP,0
526,1144,Microsoft (except Azure),0
527,1144,Cisco (CCNA/CCNP/CCIE),0
528,1144,LPI,0
529,1144,Red Hat (RHCSA/RHCE/RHCA),0
530,1144,Cisco (CCNA/CCNP/CCIE),0
531,1147,Project Management,0
532,1148,PMP,1
533,1148,PRINCE2,1
534,1155,Cisco (CCNA/CCNP/CCIE),1
535,1155,Cisco (CCNA/CCNP/CCIE),1
536,1156,ISC2 (CISSP/CCSP/SSCP),0
537,1156,ISACA (CISA/CISM/CRISC),0
538,1156,ISC2 (CISSP/CCSP/SSCP),0
539,1163,HKICPA,1
540,1163,ACCA,1
542,1170,ITIL,0
543,1173,Professional Certificate,1
544,1173,NiTEC,1
545,1181,ISTQB,0
546,1181,Certified Agile Essentials,0
547,1181,Certified Agile Testing,0
548,1183,PMP,0
549,1183,PRINCE2,0
550,1187,Associate Cloud Engineer Certified,1
551,1189,Microsoft (except Azure),1
552,1189,Microsoft (except Azure),1
553,1189,Cisco (CCNA/CCNP/CCIE),1
554,1189,Azure,0
555,1189,AWS,0
556,1191,major privacy certification,0
557,1193,PMP,0
558,1193,CITPM,0
559,1202,ServiceNow certification,0
560,1202,ITIL,0
561,1204,OffSec (OSCP),1
562,1204,GIAC,1
563,1204,Certified Ethical Hacker (CEH),1
564,1207,Any ServiceNow certification,0
565,1207,ITIL,0
566,1210,Any ServiceNow certification,0
567,1210,ITIL,0
568,1213,SAP,0
569,1213,Oracle Certified Professional,0
570,1214,PMP,0
571,1215,PMP,0
572,1215,ITIL,0
573,1216,AWS,0
574,1216,AWS,0
575,1216,AWS,0
576,1217,GCIH,1
577,1217,GCIA,1
578,1217,GMON,1
579,1219,Cisco (CCNA/CCNP/CCIE),1
580,1219,AWS,1
581,1222,Cisco (CCNA/CCNP/CCIE),0
582,1222,HCNP,0
583,1225,ServiceNow Certified System Administrator,0
584,1225,ServiceNow Certified Application Developer,0
585,1233,IT Security,0
586,1233,Information Risk Management,0
587,1236,ITIL,0
588,1236,ITSM,0
589,1246,ITIL,1
590,1246,Microsoft (except Azure),0
591,1251,Microsoft (except Azure),1
592,1251,Microsoft (except Azure),1
593,1254,Microsoft (except Azure),1
594,1259,Cisco (CCNA/CCNP/CCIE),0
595,1261,Huawei HCIP/HCSP,0
596,1261,Cisco (CCNA/CCNP/CCIE),0
597,1263,ISC2 (CISSP/CCSP/SSCP),0
598,1263,ISACA (CISA/CISM/CRISC),0
599,1263,CIAM,0
600,1263,IAM certifications from recognized vendors,0
601,1266,Microsoft (except Azure),0
602,1266,Cisco (CCNA/CCNP/CCIE),0
603,1268,Professional certification,0
604,1273,Huawei HCIP/HCSP,0
605,1273,VMware,0
606,1273,Dell EMC,0
607,1273,NetApp,0
608,1283,AWS,0
609,1287,ITIL,0
610,1289,ITIL,0
611,1289,ISO20000,0
612,1289,Azure,0
613,1289,AWS,0
614,1289,Microsoft (except Azure),0
615,1290,LLM ops,0
616,1290,ML ops,0
617,1296,PMP,1
618,1296,PMI,1
619,1296,Agile,1
620,1297,ITIL,0
622,1297,Cisco (CCNA/CCNP/CCIE),0
623,1297,Fortinet,0
624,1298,Cisco (CCNA/CCNP/CCIE),1
625,1303,LLM ops,0
626,1303,ML ops,0
627,1310,ITIL,0
628,1311,ISO 27001,0
629,1313,ITIL,0
630,1313,PMP,0
631,1313,PRINCE2,0
632,1313,Agile Practitioner,0
633,1313,ScrumMaster,0
634,1319,Citrix Certified Associate (CCA),0
635,1319,Citrix Certified Professional (CCP),0
636,1320,CompTIA (A+/Network+/Linux+/Security+),0
637,1320,ISC2 (CISSP/CCSP/SSCP),0
638,1320,Certified Ethical Hacker (CEH),0
639,1324,SAP,0
641,1326,Cisco (CCNA/CCNP/CCIE),1
642,1326,VMware,1
643,1329,ITIL,0
645,1331,Cisco (CCNA/CCNP/CCIE),1
646,1331,VMware,1
647,1337,Cert 5 in Arboriculture,1
648,1337,QTRA,1
649,1337,TRAQ,1
650,1337,Certificate of First Aid,1
651,1337,Working with Children Check,1
652,1345,Certification in business analytics or related fields,0
653,1349,Azure,1
654,1351,ISC2 (CISSP/CCSP/SSCP),0
655,1351,ISACA (CISA/CISM/CRISC),0
656,1351,Certified Ethical Hacker (CEH),0
657,1355,VCP,0
658,1355,VCIX,0
659,1355,Microsoft (except Azure),0
660,1355,Microsoft (except Azure),0
661,1355,ITIL,0
662,1355,Cisco (CCNA/CCNP/CCIE),0
664,1362,SAP,0
665,1362,Oracle Certifications,0
666,1363,PMP,0
667,1363,PRINCE2,0
668,1366,CPA,0
669,1369,ITIL,1
670,1376,Certifications in programming languages or low-code development platforms,0
671,1379,PMP,0
672,1379,Salesforce,0
673,1379,Salesforce,0
674,1389,Cisco (CCNA/CCNP/CCIE),0
675,1389,Cisco (CCNA/CCNP/CCIE),0
676,1390,PRINCE2,1
677,1392,ITIL,0
678,1400,RF Awareness,1
679,1400,Rigging Basic,1
680,1400,Tower Rescue,1
681,1400,Construction White Card,1
682,1401,Six Sigma,1
683,1417,ISC2 (CISSP/CCSP/SSCP),0
684,1417,ISACA (CISA/CISM/CRISC),0
685,1417,NSE,0
686,1417,Cisco (CCNA/CCNP/CCIE),0
687,1419,Microsoft (except Azure),0
688,1419,Cisco (CCNA/CCNP/CCIE),0
689,1419,CDCP,0
690,1419,ITIL,0
691,1422,Professional Data Engineer (Google),0
692,1423,Scrum Master,0
693,1423,Product Owner,0
694,1423,Project Management,0
695,1436,Cisco (CCNA/CCNP/CCIE),1
696,1436,CompTIA (A+/Network+/Linux+/Security+),1
697,1436,CompTIA (A+/Network+/Linux+/Security+),1
698,1436,CompTIA (A+/Network+/Linux+/Security+),1
699,1436,CREST,1
700,1436,GIAC,1
701,1438,Salesforce,0
702,1444,Certified Scrum Master,1
703,1444,SAFe Certification,1
704,1446,JNCIA,0
705,1448,PMP,1
706,1448,Scrum Master,0
707,1448,ITIL,0
708,1454,ISC2 (CISSP/CCSP/SSCP),0
709,1454,CompTIA (A+/Network+/Linux+/Security+),0
710,1454,Certified Ethical Hacker (CEH),0
711,1454,GIAC,0
712,1454,CompTIA (A+/Network+/Linux+/Security+),0
713,1456,Salesforce,0
714,1456,Zuora,0
715,1456,Apttus CPQ,0
716,1457,CompTIA (A+/Network+/Linux+/Security+),0
717,1457,Microsoft (except Azure),0
718,1457,Cisco (CCNA/CCNP/CCIE),0
719,1461,SAP,1
720,1467,ITIL,0
721,1467,Hitachi,0
722,1467,HPE,0
723,1467,NetApp,0
724,1467,Fujitsu,0
725,1467,DellEMC,0
726,1467,Cisco (CCNA/CCNP/CCIE),0
727,1467,Broadcom Certification,0
728,1470,Scrum Master,0
729,1472,CompTIA (A+/Network+/Linux+/Security+),0
730,1472,ITIL,0
731,1472,vendor-specific certifications,0
732,1485,Certified SSA,1
733,1490,Cisco (CCNA/CCNP/CCIE),1
734,1490,Cisco (CCNA/CCNP/CCIE),1
735,1499,SAP,0
736,1509,Cisco (CCNA/CCNP/CCIE),1
737,1509,Huawei network certificate HCNA/HCNP,0
738,1509,PRINCE2,0
739,1509,ITIL,0
740,1509,PMBOK,0
741,1512,Google Cloud Machine Learning Engineer Certification,1
742,1512,Google Cloud Data Engineer Certification,1
743,1512,Google Professional Cloud Architect Certification,1
744,1513,Google Cloud Machine Learning Engineer Certification,1
745,1513,Google Cloud Data Engineer Certification,1
746,1513,Google Professional Cloud Architect Certification,1
747,1514,SQL,0
748,1514,data warehousing,0
749,1514,ETL tools,0
750,1514,methodologies,0
751,1517,Certification in data management or data governance,0
752,1527,ITIL,0
753,1528,Informatica certification,0
754,1536,ASICS/Inventory Control,0
755,1536,CompTIA (A+/Network+/Linux+/Security+),0
757,1536,Network Certifications,0
758,1536,Cisco (CCNA/CCNP/CCIE),0
759,1536,ITIL,0
760,1536,Microsoft (except Azure),0
761,1536,Leadership Development Certifications,0
762,1536,PMP,0
763,1548,NBN EnAble Card,1
764,1548,Open Cabling License,1
765,1548,Current Power Awareness,1
766,1548,Current CRP and First Aid,1
767,1548,Clean Police check,1
768,1548,Proof of working rights in Australia,1
769,1548,Current Traffic management,0
770,1548,EWP License,0
771,1555,ITIL,1
772,1556,ITIL,0
773,1561,Microsoft (except Azure),0
774,1562,ISC2 (CISSP/CCSP/SSCP),0
775,1562,ISACA (CISA/CISM/CRISC),0
776,1562,Certified Ethical Hacker (CEH),0
777,1565,ITIL,1
778,1565,ITIL,0
779,1572,Certificate III Electronics & Communications,1
780,1572,Cert IV,0
781,1572,Restricted Electrical License,0
782,1572,Working at Heights,0
783,1572,Low Voltage Rescue,0
784,1572,EWP,0
785,1572,First Aid,0
786,1572,Confined Space training,0
787,1572,Drivers License,0
788,1572,ACMA cabling,0
789,1572,TBOSIET,0
790,1572,HUET,0
791,1572,REL,0
792,1572,EEHA,0
793,1573,Cisco (CCNA/CCNP/CCIE),1
794,1573,Cisco (CCNA/CCNP/CCIE),1
795,1573,CCDA,1
796,1584,Azure,0
797,1584,Azure,0
798,1586,InfoSec,1
799,1588,Certificate in Rigging,1
800,1588,Certificate in Telecommunications,1
801,1588,ACMA License,1
802,1588,Open Cabling Ticket,1
803,1588,Current First Aid,1
804,1588,CPR Certificates,1
805,1588,Construction White Card,1
806,1588,RF/EME Awareness,1
807,1588,Working at Heights certification,1
808,1588,Tower Rescue certification,1
809,1591,ISC2 (CISSP/CCSP/SSCP),0
810,1591,ISACA (CISA/CISM/CRISC),0
811,1591,TOGAF,0
812,1591,FAIR,0
813,1592,Certificate in Rigging (Basic minimum),1
814,1592,Certificate in Telecommunications,1
815,1592,Tower Rescue certification,1
816,1592,Working at heights certification,1
817,1592,RadHaz EME Awareness,1
818,1592,ACMA License (Open Cabling Ticket),1
819,1592,First Aid Certificate,1
820,1592,CPR Certificate,1
821,1592,Construction White Card,1
822,1592,MR or HR License,0
823,1595,Certificate in Rigging,1
